Month,Date ,Invoice No,Invoice,Description,More Info,Amount without VAT,VAT,Total Amount,Payment Method,Country,Note,
December,04/12/2025,G0786270,Bazaraki ,PC -Equipment,pc-Equipment,€ 140.00,€ 0.00,€ 140.00,,,,
December,14/12/2025,,Pantelis Katelaris -Pergamos,Office equipment,Stationary,€ 5.72,€ 1.09,€ 6.81,,,,
January,14/01/2026,,DATABASE MART,Software/Hardware ,Basic Dedicated Server -Raid,€ 70.48,,€ 70.48,,,,
January,14/01/2026,,DATABASE MART,Software/Hardware ,Basic Dedicated Server -Raid,€ 15.05,,€ 15.05,,,,
January,14/01/2026,,DATABASE MART,Software/Hardware ,Basic Dedicated Server -Raid,€ 212.50,,€ 212.50,,,,
December,23/12/2025,,DATABASE MART,Software/Hardware ,Basic Dedicated Server -Raid,€ 34.32,,€ 34.32,,,,
December,15/12/2026,,DATABASE MART,Software/Hardware ,Basic Dedicated Server -Raid,€ 69.96,,€ 69.96,,,,
December,14/12/2025,,DATABASE MART,Software/Hardware ,Basic Dedicated Server -Raid,€ 210.94,,€ 210.94,,,,
December,15/12/2025,,DATABASE MART,Software/Hardware ,Basic Dedicated Server -Raid,€ 34.28,,€ 34.28,,,,
February,15/02/2026,,DATABASE MART,Software/Hardware ,Basic Dedicated Server -Raid,€ 69.22,,€ 69.22,,,,
February,12/02/2026,,DATABASE MART,Software/Hardware ,Basic Dedicated Server -Raid,€ 27.85,,€ 27.85,,,,
February,14/02/2026,,DATABASE MART,Software/Hardware ,Basic Dedicated Server -Raid,€ 208.70,,€ 208.70,,,,
December,24/12/2025,,eshop cy,Software/Hardware ,Equipment,€ 2.94,€ 0.56,€ 3.50,,,,
December,24/12/2025,,eshop cy,Software/Hardware ,Equipment,€ 11.68,€ 2.22,€ 13.90,,,,
February,14/02/2026,,eshop cy,Software/Hardware ,Equipment,€ 100.00,€ 19.00,€ 119.00,,,,
January,17/01/2026,,KIRO,AI-software ,Ai -software ,€ 10.27,,€ 10.27,,,,
January,05/01/2026,1718,S&N,constraction company ,building repair ,€ 206.00,,€ 206.00,,,,
January,29/01/2026,,LEROY MERLIN,Equipment,Equipment,€ 26.97,€ 5.14,€ 32.11,,,,
January,30/01/2026,,LEROY MERLIN,Equipment,Equipment,€ 7.71,€ 1.46,€ 9.17,,,,
January,23/01/2026,,OPENAI,AI-software ,Ai -software ,€ 19.33,,€ 19.33,,,,
February,01/02/2026,,KIRO,AI-software ,Ai -software ,€ 21.90,,€ 21.90,,,,
January,29/01/2026,,GoDaddy.com,software,domain,€ 12.54,€ 2.58,€ 15.12,,,,
January,19/01/2026,,university of cyprus ,software ,domain,€ 16.81,€ 3.19,€ 20.00,,,,
January,16/01/2026,,university of cyprus ,software ,domain,€ 42.02,€ 7.98,€ 50.00,,,,
January,26/01/2026,,E.N.A Humans the agency limited ,advertising agency,advertising ,"€ 4,500.00",€ 855.00,"€ 5,355.00",,,,
January,25/01/2026,,Superhome center ,Equipment,building repair ,€ 45.03,€ 8.56,€ 53.59,,,,
December,31/12/2025,,A.S. Xinaris & Sons LTD,Supermarket,food,€ 100.16,€ 19.03,€ 119.19,,,,
December,23/12/2025,,OPENAI,AI-software ,Ai -software ,€ 19.33,,€ 19.33,,,,
December,21/12/2025,,Superhome center ,Equipment,Equipment,€ 45.36,€ 8.62,€ 53.98,,,,
February,13/02/2026,,easy by europlanet ,software ,domain,€ 19.90,,€ 19.90,,,,
December,11/12/2025,,enterprise ,Car rental ,car rental ,€ 96.38,,€ 96.38,,,,
December,04/12/2025,,Monzilla Foundation,software ,software ,€ 10.90,,€ 10.90,,,,
December,18/12/2025,,Microsat ,internet technology ,SMS service ,€ 50.00,€ 9.50,€ 59.50,,,,
December,18/12/2025,,LabelShop,labels store ,labels ,€ 212.00,,€ 212.00,,,,
December,31/12/2025,,AHK,Utilities,Utilities,€ 83.16,€ 7.35,€ 90.51,,,,
February,12/02/2026,,ebay,online shop ,pc-Equipment,€ 179.12,,€ 179.12,,,,
January,01/01/2026,,Cyta 1/26,Telephone Bill,,€ 33.40,€ 6.35,€ 39.75,,,,
February,01/02/2026,,Cyta 2/26,Telephone Bill,,€ 38.90,€ 7.40,€ 46.30,,,,
December,01/12/2025,,Cyta 12/25,Telephone Bill,,€ 26.00,€ 4.94,€ 30.94,,,,
February,28/02/2026,,AHK,Utilities,Utilities,€ 229.96,€ 20.29,€ 250.25,,,,
February,02/02/2026,,Cablenet ,internet ,internet ,€ 21.01,€ 3.99,€ 25.00,,,,
December,15/12/2025,,e-shopcy,Equipment,pc-Equipment,€ 5.80,€ 1.10,€ 6.90,,,,
January,07/01/2026,,Τμήμα φορολογίας ,ΤΑΧ ,TAX,"€ 2,303.57",,"€ 2,303.57",,,,
January,16/01/2026,,Δήμος Λευκωσίας ,municipality,business operation,€ 250.00,,€ 250.00,,,,
January,05/01/2026,,EOA,Utilities,Utilities,€ 21.85,€ 0.90,€ 22.75,,,,
February,19/02/2026,,LEROY MERLIN,Hardware,Plumbing,€ 26.99,€ 5.12,€ 32.11,,,,
February,14/02/2026,,EKO,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
December,23/12/2025,,EKO,Fuels,,€ 25.22,€ 4.79,€ 30.01,,,,
December,22/12/2025,,EKO,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
January,04/01/2026,,EKO,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
December,19/12/2025,,EKO,Fuels,,€ 10.44,€ 1.98,€ 12.42,,,,
January,09/01/2026,,EKO,Fuels,,€ 25.21,€ 4.79,€ 30.00,,,,
January,04/01/2026,,EKO,Fuels,,€ 16.13,€ 3.07,€ 19.20,,,,
December,27/12/2025,,EKO,Fuels,,€ 17.01,€ 3.23,€ 20.24,,,,
December,28/12/2025,,EKO,Fuels,,€ 17.37,€ 3.30,€ 20.67,,,,
January,21/01/2026,,EKO,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
January,13/01/2026,,EKO,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
January,14/01/2026,,EKO,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
February,06/02/2026,,EKO,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
February,16/02/2026,,EKO,Fuels,,€ 25.21,€ 4.79,€ 30.00,,,,
February,18/02/2026,,EKO,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
January,30/01/2026,,EKO,Fuels,,€ 16.92,€ 3.21,€ 20.13,,,,
February,23/02/2026,,EKO,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
December,12/12/2025,,Petrolina,Fuels,,€ 38.66,€ 7.35,€ 46.01,,,,
December,05/12/2025,,Petrolina,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
December,27/12/2025,,EKO Larnakos,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
December,27/12/2026,,Petrolina,Fuels,,€ 12.61,€ 2.39,€ 15.00,,,,
January,09/01/2026,,Petrolina,Fuels,,€ 16.81,€ 3.19,€ 20.00,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Outdated,,,,,,,,,,
November,20/11/2025,1000214906,ΣουβλάκιLovers ,Restaurants & Bar,Meeting,€ 23.67,€ 2.13,€ 25.80,,,,
November,05/11/2025,,Mariancchi-Karvounonostimies,Restaurants & Bar,Meeting,€ 44.95,€ 4.05,€ 49.00,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,

