Month,Date ,Invoice No,Invoice,Description,More Info,Amount without VAT,VAT,Total Amount,Payment Method,Invoice Number,Note,
May,20/05/2025,,Lidl,Supermarket,,€ 12.30,€ 0.62,€ 12.92,,,,
March,24/03/2025,,G.A.P. Akis Express LTD,Shipping,,€ 11.74,€ 2.75,€ 14.49,,,,
May,30/05/2025,,Pop Life,Supermarket,,€ 9.90,€ 1.89,€ 11.79,,,,
January,16/01/1900,,Metro,Supermarket,,€ 18.77,€ 0.93,€ 19.70,,,,
May,11/05/2025,,Metro,Supermarket,,€ 10.26,€ 0.51,€ 10.77,,,,
March,11/03/2025,,Metro,Supermarket,,€ 7.94,€ 0.40,€ 8.34,,,,
April,17/04/2025,,Metro,Supermarket,,€ 11.68,€ 0.58,€ 12.26,,,,
May,24/05/2025,,Sklavenitis,Supermarket,,€ 16.37,€ 2.43,€ 18.80,,,,
January,28/01/1900,,Sklavenitis,Supermarket,,€ 7.68,€ 1.46,€ 9.14,,,,
March,19/03/2025,,Sklavenitis,Supermarket,,€ 13.87,€ 0.69,€ 14.56,,,,
March,11/03/2025,,Sklavenitis,Supermarket,,€ 11.91,€ 0.88,€ 12.79,,,,
May,20/05/2025,,Sklavenitis,Supermarket,,€ 9.31,€ 1.18,€ 10.49,,,,
March,26/03/2025,,Best Values Discount Store Kennedy,Supermarket,,€ 10.66,€ 0.28,€ 10.94,,,,
May,27/05/2025,,Waddah Flahaha Trading Ltd,Supermarket,,€ 4.63,€ 0.12,€ 4.75,,,,
May,21/05/2025,,Waddah Flahaha Trading Ltd,Supermarket,,€ 12.09,€ 0.55,€ 12.64,,,,
May,29/05/2025,,Periptero Armenias (L&A MERX LTD),Supermarket,,€ 5.12,€ 0.78,€ 5.90,,,,
March,24/03/2025,,A Xorpas & Sons Ltd,Supermarket,,€ 14.62,€ 0.73,€ 15.35,,,,
April,08/04/2025,ΛΝ-ML02_00517150,S.M. Sportswear Market Ltd (Intersport),Gift,Customer Gifts,€ 58.97,€ 11.21,€ 70.18,,,,
March,25/03/2025,724428,Moda Retrato LTD (Massimo Dutti),Uniform,,€ 58.91,€ 11.19,€ 70.10,,,,
March,25/03/2025,7290417747,ERA,Uniform,,€ 23.27,€ 4.42,€ 27.69,,,,
April,22/04/2025,7290418575,ERA,Uniform,,€ 33.61,€ 6.38,€ 39.99,,,,
May,24/05/2025,,S.T Karpos Zois LTD,Supermarket,,€ 6.92,€ 0.38,€ 7.30,,,,
March,07/03/2025,,Afelandra,Gift,Flower,€ 11.76,€ 2.24,€ 14.00,,,,
April,08/04/2025,,Afelandra,Gift,Flower,€ 6.72,€ 1.28,€ 8.00,,,,
March,11/03/2025,,Vassos Eliades LTd,Supermarket,Coffee,€ 24.29,€ 1.21,€ 25.50,,,,
March,25/03/2025,,Vassos Eliades LTd,Supermarket,Coffee,€ 15.81,€ 0.79,€ 16.60,,,,
April,08/04/2025,,Vassos Eliades LTd,Supermarket,Coffee,€ 32.86,€ 1.64,€ 34.50,,,,
May,19/05/2025,,Char.J.Philippides & Sons Ltd,Stationery,,€ 2.26,€ 0.43,€ 2.69,,,,
May,19/05/2025,,Char.J.Philippides & Sons Ltd,Stationery,,€ 1.88,€ 0.21,€ 2.09,,,,
March,07/03/2025,,Mariancchi (Karvounonostimies),Restaurants & Bar,Meeting,€ 188.07,€ 16.93,€ 205.00,,,,
April,04/04/2025,,SVL Souvlaki Lovers LTD,Restaurants & Bar,Meeting,€ 28.25,€ 2.55,€ 30.80,,,,
May,30/05/2025,,SVL Souvlaki Lovers LTD,Restaurants & Bar,Meeting,€ 22.01,€ 1.99,€ 24.00,,,,
March,24/03/2025,,Freeze Panes LTD (Brothers Bar And Grill),Restaurants & Bar,Meeting,€ 58.53,€ 5.27,€ 63.80,,,,
April,26/04/2025,,Baristro Tou Nikola LTD,Restaurants & Bar,Meeting,€ 43.12,€ 3.88,€ 47.00,,,,
March,21/03/2025,,Freeze Panes LTD (Brothers Bar And Grill),Restaurants & Bar,Meeting,€ 40.18,€ 3.62,€ 43.80,,,,
March,20/03/2025,,Neocleous & Constantinides LTD (Babylon),Restaurants & Bar,Meeting,€ 28.44,€ 2.56,€ 31.00,,,,
May,06/05/2025,,Neocleous & Constantinides LTD (Babylon),Restaurants & Bar,Meeting,€ 50.00,€ 4.50,€ 54.50,,,,
April,24/04/2025,,Avantage B&R Italian Restaurants LTD (Jamies),Restaurants & Bar,Meeting,€ 198.16,€ 17.84,€ 216.00,,,,
March,30/03/2025,,P. Ignatiou LTD (Coffee Bar Yard Lefkara),Restaurants & Bar,Leasure,€ 17.43,€ 1.57,€ 19.00,,,,
March,13/03/2025,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,€ 43.70,€ 8.30,€ 52.00,,,,
March,26/03/2025,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,€ 81.92,€ 15.57,€ 97.49,,,,
March,22/03/2025,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,€ 42.02,€ 7.98,€ 50.00,,,,
March,19/03/2025,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,€ 33.63,€ 6.39,€ 40.02,,,,
March,08/03/2025,,ESSO,Traveling Expenses,Fuels,€ 6.83,€ 1.30,€ 8.13,,,,
,,Outdated,,,,,,,,,,
January,23/01/2025,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,,€ 8.15,€ 51.02,,,,
January,16/01/2025,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,,€ 7.98,€ 50.00,,,,
January,08/01/2025,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,,€ 7.66,€ 48.00,,,,
December,02/12/2024,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,,€ 8.06,€ 50.51,,,,
December,21/12/2024,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,,€ 8.14,€ 51.01,,,,
December,30/12/2024,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,,€ 6.39,€ 40.01,,,,
December,12/12/2024,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,,€ 8.22,€ 51.50,,,,
February,10/02/2025,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,,€ 8.78,€ 55.00,,,,
February,18/02/2025,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,,€ 8.62,€ 54.00,,,,
February,26/02/2025,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,,€ 7.98,€ 50.00,,,,
January,31/01/2025,,R.A.M. OIL Cyprus LTD,Traveling Expenses,Fuels,,€ 8.62,€ 54.00,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"€ 6,285.18",€ 899.12,"€ 7,650.75",,,EU Purchases,€ 75.45
,,,,,,,,,,,NON EU Purchases,€ 0.00
,,,,,,Net Sales,VAT,Gross Sales,,,,
,,,,3,March,€ 29.60,€ 5.62,€ 35.22,,,,
,,,,4,April,€ 29.60,€ 5.62,€ 35.22,,,,
,,,,5,May,"€ 1,564.94",€ 297.33,"€ 1,862.27",,,,
,,,,,,,,,,,,
,,,,,,Received VAT,€ 308.57,,,,,
,,,,,,,,,,,,
,,,,,,,-€ 590.55,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,-€ 590.55,,,,,
