Month,Date ,Invoice No,Invoice,Description,More Info,Amount without VAT,VAT,Total Amount,Payment Method,Country,Note,
July,30/07/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 42.86,€ 8.14,€ 51.00,,,,
July,23/07/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 42.69,€ 8.11,€ 50.80,,,,
July,15/07/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 44.75,€ 8.50,€ 53.25,,,,
July,08/07/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 43.71,€ 8.30,€ 52.01,,,,
August,21/08/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 41.18,€ 7.83,€ 49.01,,,,
August,04/08/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 25.21,€ 4.79,€ 30.00,,,,
August,04/08/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 7.48,€ 1.42,€ 8.90,,,,
July,11/07/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
July,28/07/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
July,15/07/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
June,06/06/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
January,,,,,,€ 0.00,,,,,,
August,31/08/2025,,LIDL,Supermarket,Food,€ 9.94,€ 1.31,€ 11.25,,,,
August,28/08/2025,,LIDL,Supermarket,Food,€ 12.56,€ 1.72,€ 14.28,,,,
August,24/08/2025,,LIDL,Supermarket,Food,€ 25.62,€ 2.28,€ 27.90,,,,
August,22/08/2025,,LIDL,Supermarket,Food,€ 29.28,€ 1.93,€ 31.21,,,,
August,12/08/2025,,LIDL,Supermarket,Food,€ 8.24,€ 0.35,€ 8.59,,,,
August,04/08/2025,,LIDL,Supermarket,Food,€ 21.38,€ 2.79,€ 24.17,,,,
July,22/07/2025,,LIDL,Supermarket,Food,€ 9.44,€ 0.49,€ 9.93,,,,
July,17/07/2025,,LIDL,Supermarket,Food,€ 6.29,€ 0.31,€ 6.60,,,,
July,13/07/2025,,LIDL,Supermarket,Food,€ 12.57,€ 1.78,€ 14.35,,,,
July,04/07/2025,,LIDL,Supermarket,Food,€ 8.19,€ 0.13,€ 8.32,,,,
July,10/07/2025,,LIDL,Supermarket,Food,€ 12.07,€ 1.94,€ 14.01,,,,
July,11/07/2025,,LIDL,Supermarket,Food,€ 2.65,€ 0.00,€ 2.65,,,,
July,30/07/2025,,LIDL,Supermarket,Food,€ 28.57,€ 3.26,€ 31.83,,,,
June,03/06/2025,,LIDL,Supermarket,Food,€ 30.28,€ 1.52,€ 31.80,,,,
August,07/08/2025,,LIDL,Supermarket,Food,€ 17.77,€ 1.87,€ 19.64,,,,
June,16/06/2025,,LIDL,Supermarket,Food,€ 6.56,€ 0.17,€ 6.73,,,,
June,23/06/2025,,LIDL,Supermarket,Food,€ 5.54,€ 0.19,€ 5.73,,,,
June,21/06/2025,,LIDL,Supermarket,Food,€ 12.82,€ 1.09,€ 13.91,,,,
June,08/06/2025,,LIDL,Supermarket,Food,€ 18.36,€ 1.57,€ 19.93,,,,
June,29/06/2025,,LIDL,Supermarket,Food,€ 9.69,€ 0.33,€ 10.02,,,,
June,15/06/2025,,LIDL,Supermarket,Food,€ 15.51,€ 0.52,€ 16.03,,,,
June,13/06/2025,,LIDL,Supermarket,Food,€ 9.24,€ 1.75,€ 10.99,,,,
June,17/06/2025,,Alphamega,Supermarket,Food,€ 3.18,€ 0.00,€ 3.18,,,,
June,16/06/2025,,Vienna Bakeries ,Bakerie,Food,€ 9.22,€ 0.46,€ 9.68,,,,
June,05/06/2025,,Metro supermarket,Supermarket,Food,€ 11.74,€ 0.59,€ 12.33,,,,
June,14/06/2025,,Metro supermarket,Supermarket,Food,€ 19.12,€ 0.96,€ 20.08,,,,
June,21/06/2025,,Metro supermarket,Supermarket,Food,€ 13.42,€ 0.85,€ 14.27,,,,
June,25/06/2025,,Metro supermarket,Supermarket,Food,€ 8.71,€ 0.94,€ 9.65,,,,
August,13/08/2025,,Metro supermarket,Supermarket,Food,€ 6.43,€ 0.32,€ 6.75,,,,
July,17/07/2025,,Metro supermarket,Supermarket,Food,€ 7.46,€ 0.11,€ 7.57,,,,
July,15/07/2025,,Metro supermarket,Supermarket,Food,€ 9.54,€ 0.28,€ 9.82,,,,
July,20/07/2025,,Metro supermarket,Supermarket,Food,€ 9.99,€ 0.50,€ 10.49,,,,
July,26/07/2025,,Metro supermarket,Supermarket,Food,€ 5.64,€ 0.00,€ 5.64,,,,
August,06/08/2025,,Metro supermarket,Supermarket,Food,€ 18.40,€ 0.54,€ 18.94,,,,
July,20/07/2025,,Metro supermarket,Supermarket,Food,€ 10.44,€ 0.37,€ 10.81,,,,
July,07/07/2025,,Metro supermarket,Supermarket,Food,€ 11.97,€ 0.45,€ 12.42,,,,
July,09/07/2025,,Metro supermarket,Supermarket,Food,€ 10.97,€ 0.43,€ 11.40,,,,
August,02/08/2025,,Metro supermarket,Supermarket,Food,€ 5.62,€ 0.28,€ 5.90,,,,
July,23/07/2025,,Metro supermarket,Supermarket,Food,€ 12.24,€ 0.61,€ 12.85,,,,
July,08/07/2025,,Sklavenitis ,Supermarket,Food,€ 7.94,€ 0.40,€ 8.34,,,,
July,07/07/2025,,Sklavenitis ,Supermarket,Food,€ 7.40,€ 0.60,€ 8.00,,,,
June,13/06/2025,,Sklavenitis ,Supermarket,Food,€ 12.26,€ 2.23,€ 14.49,,,,
June,03/06/2025,,Sklavenitis ,Supermarket,Food,€ 8.88,€ 1.25,€ 10.13,,,,
August,08/08/2025,,Sklavenitis ,Supermarket,Food,€ 4.30,€ 0.38,€ 4.68,,,,
July,23/07/2025,,Sklavenitis ,Supermarket,Food,€ 15.22,€ 1.11,€ 16.33,,,,
July,08/07/2025,,Melis,Meat market,Food,€ 5.05,€ 0.25,€ 5.30,,,,
August,30/08/2025,,G.Giagkou,Meat market,Food,€ 57.14,€ 2.86,€ 60.00,,,,
June,20/06/2025,,WADDAH FLAHAHA TRADING LTD,market,Food,€ 4.58,€ 0.08,€ 4.66,,,,
August,06/08/2025,,MotoAttack,Vehicle Service,,€ 64.80,€ 15.20,€ 80.00,,,,
June,13/06/2025,,Alexandros Stephanis & Co Ltd,Hardware,Cables,€ 10.88,€ 2.07,€ 12.95,,,,
July,11/07/2025,,AT Digital LTD,Hardware,eBAY- Portege x40 Laptop,€ 256.40,€ 58.08,€ 314.48,,,UK,
June,13/06/2025,,Ebay,Hardware,eBAY- HP Engage Go 10 Touch Tablet ,€ 193.28,€ 0.00,€ 193.28,,,DE,
July,10/07/2025,,EASY USE Susanne Moehring,Hardware,HP Engage Go 10 Tablet CASE,€ 102.19,€ 0.00,€ 102.19,,,,
August,26/08/2025,INV/2025/01393,MCIT LTD,Hardware,Route 66 + adapter,€ 83.00,€ 15.77,€ 98.77,,,,
July,29/07/2025,INV/2025/01298,MCIT LTD,Hardware,GFI Warehouse,€ 248.00,€ 47.12,€ 295.12,,,,
July,14/07/2025,INV/2025/01201,MCIT LTD,Hardware,OCC Limassol,€ 352.51,€ 66.98,€ 419.49,,,,
August,11/08/2025,,Eshop cy,Hardware,Camera Memory Card,€ 3.19,€ 0.61,€ 3.80,,,,
June,12/06/2025,,Eshop cy,Hardware,Cables,€ 67.46,€ 12.82,€ 80.28,,,,
June,13/06/2025,,AGELO Sales LTD,Electrical Equipment,Tools - OCC Limassol,€ 7.56,€ 1.44,€ 9.00,,,,
July,20/07/2025,,AliExpress,Security,Alarm System,€ 48.73,€ 9.26,€ 57.99,,Non EU,CN,
July,20/07/2025,,AliExpress,Office,3 Inventors Bag,€ 39.49,€ 7.50,€ 46.99,,Non EU,CN,
July,20/07/2025,,AliExpress,Office,Busines Cards Holder,€ 2.38,€ 0.45,€ 2.83,,Non EU,CN,
July,21/07/2025,,AliExpress,Hardware,Cables,€ 2.13,€ 0.41,€ 2.54,,Non EU,CN,
July,22/07/2025,,AliExpress,Hardware,Cables,€ 1.95,€ 0.38,€ 2.33,,Non EU,CN,
July,26/07/2025,,AliExpress,Hardware,Dynabook Adapter,€ 12.34,€ 2.34,€ 14.68,,Non EU,CN,
July,26/07/2025,,AliExpress,Electronics,Hift,€ 26.03,€ 0.78,€ 26.81,,Non EU,CN,
July,20/07/2025,,AliExpress,Security,Camera Surveillance,€ 31.60,€ 6.00,€ 37.60,,Non EU,CN,
July,20/07/2025,,AliExpress,Hardware,Cables,€ 4.85,€ 0.92,€ 5.77,,Non EU,CN,
July,20/07/2025,,AliExpress,Hardware,Adapter,€ 3.98,€ 0.76,€ 4.74,,Non EU,CN,
July,20/07/2025,,AliExpress,Electronics,Timer,€ 3.71,€ 0.70,€ 4.41,,Non EU,CN,
August,13/08/2025,,Monza SA,Car Rental,Business Travelling,€ 372.55,€ 89.42,€ 461.97,,,GR,
June,24/06/2025,,Aegean,Air Ticket,Business Travelling,€ 245.97,€ 0.00,€ 245.97,,,GR,
July,09/07/2025,,ABOUT YOU SE & CO. KG,Outfit,,€ 20.92,€ 3.98,€ 24.90,,,,
June,24/06/2025,,ABOUT YOU SE & CO. KG,Outfit,,€ 34.00,€ 6.46,€ 40.46,,,,
August,11/08/2025,,Daeya International Busines GmBH,Hardware,Nixdorf Monitors,€ 36.73,€ 15.00,€ 51.73,,,DE,
July,31/07/2025,987976,Syntechniako Farmakio LTD,Pharmacy,Health,€ 47.52,€ 2.38,€ 49.90,,,,
August,03/08/2025,102RS25025337,Vassos Eliades ltd,Nespresso pop up,Food,€ 15.81,€ 0.79,€ 16.60,,,,
August,31/08/2025,102RS25028567,Vassos Eliades ltd,Nespresso pop up,Food,€ 22.95,€ 1.15,€ 24.10,,,,
July,12/07/2025,102RS25022775,Vassos Eliades ltd,Nespresso pop up,Food,€ 17.10,€ 0.85,€ 17.95,,,,
August,29/08/2025,CA50052971,Char.J.Philippides & Son ltd,Office,Stationary,€ 4.46,€ 0.85,€ 5.31,,,,
June,20/06/2025,922652325,Parga,Office,Stationary,€ 15.03,€ 0.45,€ 15.48,,,,
August,28/08/2025,922660126,Parga,Office,Stationary,€ 51.66,€ 1.55,€ 53.21,,,,
June,11/06/2025,141873,Finders bar and Grill Aga Andreou ltd,Restaurants & Bar,Meeting,€ 42.11,€ 3.79,€ 45.90,,,,
June,18/06/2025,135188,Grains & Greens,Restaurants & Bar,Meeting,€ 11.24,€ 0.56,€ 11.80,,,,
June,09/06/2025,,Avantage B&R Italian Restaurants Ltd /JAMIE OLIVER NCA,Restaurants & Bar,Meeting,€ 27.34,€ 2.46,€ 29.80,,,,
June,24/06/2025,,Treis & O Koukos ,Restaurants & Bar,Meeting,€ 60.09,€ 5.41,€ 65.50,,,,
June,09/06/2025,,Ocean Basket mall of Cyprus ,Restaurants & Bar,Meeting,€ 70.18,€ 6.32,€ 76.50,,,,
June,08/06/2025,,DIMSTEF CREPERIE,Restaurants & Bar,Meeting,€ 15.60,€ 1.40,€ 17.00,,,,
August,26/08/2025,,TO POTOPOLEIO L.A ARMENIAS LTD ,Restaurants & Bar,Meeting,€ 30.28,€ 2.72,€ 33.00,,,,
August,02/08/2025,,HETAFRE TRADING LTD / NERO AGLANTZIAS ,Restaurants & Bar,Meeting,€ 7.25,€ 0.65,€ 7.90,,,,
July,06/07/2025,,BROTHERS BAR AND Grill FREEZE PANES LTD,Restaurants & Bar,Meeting,€ 58.99,€ 5.31,€ 64.30,,,,
January,,,,,,,,,,,,
August,23/08/2025,,CAFÉ LA MODE ,Restaurants & Bar,Meeting,€ 43.63,€ 3.73,€ 47.36,,,,
August,28/08/2025,,CAFÉ LA MODE ,Restaurants & Bar,Meeting,€ 43.31,€ 3.81,€ 47.12,,,,
July,12/07/2025,,SVL SOUVLAKILOVERS ,Restaurants & Bar,Meeting,€ 87.71,€ 7.89,€ 95.60,,,,
July,21/07/2025,,SVL SOUVLAKILOVERS ,Restaurants & Bar,Meeting,€ 113.57,€ 10.23,€ 123.80,,,,
July,05/07/2025,,Finders bar and Grill Aga Andreou ltd,Restaurants & Bar,Meeting,€ 48.62,€ 4.38,€ 53.00,,,,
May,11/05/2025,,Avantage B&R Italian Restaurants Ltd /JAMIE OLIVER NCA,Restaurants & Bar,Meeting,€ 308.72,€ 27.78,€ 336.50,,,,
July,11/07/2025,,MARZANO,Restaurants & Bar,Meeting,€ 42.27,€ 2.23,€ 44.50,,,,
July,26/07/2025,,Ocean Basket Dhekelia,Restaurants & Bar,Meeting,€ 64.04,€ 5.76,€ 69.80,,,,
July,03/07/2025,,TO POTOPOLEIO L.A ARMENIAS LTD ,Gift,Customer Gifts,€ 9.17,€ 0.83,€ 10.00,,,,
August,26/08/2025,,A.M ESHOPPFORFITNESS LTD,Gift,Customer Gifts,€ 9.24,€ 1.76,€ 11.00,,,,
July,15/07/2025,,SERENITY,Gift,Customer Gifts,€ 126.05,€ 23.95,€ 150.00,,,,
August,12/08/2025,4022,KEM /OVENIT LTD,Gift,Customer Gifts,€ 51.28,€ 8.72,€ 60.00,,,,
July,31/07/2025,5090100010834,CAMEL ACTIVE,Gift,Customer Gifts,€ 39.83,€ 7.57,€ 47.40,,,,
August,09/08/2025,,S.M. SPORTSWEAR MARKET LTD,Gift,Customer Gifts,€ 40.50,€ 9.50,€ 50.00,,,,
August,09/08/2025,,MARKS & SPENCER ,Gift,Customer Gifts,€ 16.39,€ 3.11,€ 19.50,,,,
August,12/08/2025,7320450581,ERA MALL OF CYPRUS,Gift,Customer Gifts,€ 20.29,€ 3.86,€ 24.15,,,,
August,12/08/2025,5090100011062,CAMEL ACTIVE,Gift,Customer Gifts,€ 33.19,€ 6.31,€ 39.50,,,,
August,09/08/2025,5090100011016,CAMEL ACTIVE,Gift,Customer Gifts,€ 91.60,€ 17.40,€ 109.00,,,,
July,10/07/2025,2427,Piastr design & copy center ,Gift,Customer Gifts,€ 84.00,€ 15.96,€ 99.96,,,,
June,25/06/2025,CAI25/2904,A.S.XINARIS & SONS,Gift,Customer Gifts,€ 29.75,€ 5.65,€ 35.40,,,,
August,07/08/2025,39561,MANOLIS M. KEY SERVICES ,MAINTENANCE,breakdown ,€ 40.50,€ 9.50,€ 50.00,,,,
August,25/08/2025,2938,THUNDERWASH G & S HERODOTOU BROTHERS,,,€ 11.40,€ 0.60,€ 12.00,,,,
July,17/07/2025,9809,LEROY MERLIN ,Kitchen,Equipment,€ 110.49,€ 21.00,€ 131.49,,,,
August,31/08/2025,P207000274370,Superhome center ,Pc equipment,Equipment,€ 17.10,€ 3.25,€ 20.35,,,,
July,17/07/2025,9810,LEROY MERLIN ,BATH equipment,Equipment,€ 22.91,€ 4.35,€ 27.26,,,,
August,26/08/2025,P207000273392,Superhome center ,Pc equipment,Equipment,€ 13.51,€ 2.57,€ 16.08,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
,,Outdated,,,,,,,,,,
April,30/04/2025,,BABYLON,,,€ 72.48,€ 6.52,€ 79.00,,,,
April,09/04/2025,,TWO GUYS BBQ,,,€ 31.35,€ 6.05,€ 42.40,,,,
May,10/05/2025,,CAFÉ LA MODE ,Restaurants & Bar,Meeting,€ 21.13,€ 1.77,€ 22.90,,,,
May,10/05/2025,,NEW YORK ,Restaurants & Bar,Meeting,€ 25.71,€ 1.29,€ 27.00,,,,
,,,,,,,,,,,,
January,,,,,,,,,,,,
January,,,,,,,,,,,,
January,,,,,,,,,,,,
January,,,,,,,,,,,,
January,,,,,,,,,,,,
January,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"€ 9,307.97",€ 953.04,"€ 10,266.01",,,EU Purchases,"€ 1,356.59"
,,,,,,,,,,,NON EU Purchases,"€ 1,548.63"
,,,,,,Net Sales,VAT,Gross Sales,,,,
,,,,6,June,"€ 26,179.27","€ 4,974.06","€ 31,153.33",,,,
,,,,7,July,"€ 2,950.15",€ 560.53,"€ 3,510.68",,,,
,,,,8,August,€ 567.98,€ 107.92,€ 675.90,,,,
,,,,,,,,,,,,
,,,,,,Received VAT,"€ 5,642.51",,,,,
,,,,,,,,,,,,
,,,,,,,"€ 4,689.47",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"€ 4,689.47",,,,,
